id,name,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,loudness,tempo,Assignments
6SwRhMLwNqEi6alNPVG00n,LOYALTY. FEAT. RIHANNA.,75,0.0265,0.658,0.535,0,0.2,0.0573,0.419,0.356898162566179,0.36088268654298,5
75ZvA4QfFiZvzhj2xkaWAh,I Fall Apart,87,0.0689,0.556,0.538,0,0.196,0.0382,0.291,0.728018270528392,0.697774041967107,5
6jG2YzhxptolDzLHTGLt7S,Drunk in Love,74,0.00969,0.589,0.621,0.00104,0.181,0.0468,0.401,0.57292639883733,0.658075427367739,5
6WAxKNbZoGNzQTIvdMqkFs,Sex With Me,64,0.326,0.619,0.539,0,0.106,0.0409,0.39,0.698951520813869,0.374270841772665,5
11bD1JtSjlIgKgZG2134DZ,Chasing Cars,78,0.209,0.563,0.592,5.08000000000002E-05,0.132,0.0276,0.136,0.814907090210734,0.293354532933647,5
4RXpgGM7A4Hg7cFBoH5KyF,Hey Brother,78,0.0279,0.537,0.777,6.12E-05,0.0838,0.0473,0.427,0.788124156545209,0.505286397148181,1
6Qyc6fS4DsZjB2mRW9DsQs,Iris,77,0.00125,0.315,0.715,7.96999999999994E-06,0.0942,0.0362,0.497,0.451468908958788,0.819047233249615,1
5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)",77,0.0525,0.715,0.655,0,0.115,0.137,0.531,0.622443683172428,0.202837640768047,7
0cOBMETjhxublnnwhbnzJO,Reality - Radio Edit,60,0.0197,0.714,0.697,1.99999999999983E-06,0.0697,0.032,0.602,0.470673725734454,0.476950498258122,7
1060gzllf4b0UETAXisR5l,Lights Out,64,0.000127000000000002,0.501,0.824,0.000311,0.0922,0.0413,0.57,0.536800581334994,0.151128169812849,7
3I7krC8kr0gFR7P6vInR1I,Do I Make You Wanna,72,0.122,0.549,0.751,0,0.208,0.0299,0.493,0.726461123222257,0.150935753058414,1
1FY8gDAydm8CfGYp7Lv9ce,Worst In Me,66,0.105,0.648,0.616,0,0.161,0.0606,0.275,0.477628983701858,0.313294985011747,5
6GsAD8PgHxmEuIPTG8GP3M,It Goes Like This,65,0.117,0.543,0.837,0,0.0872,0.0608,0.506,0.620056057303021,0.941900267358017,1
4EAV2cKiqKP5UPZmY6dejk,Everyday,83,0.041,0.67,0.752,0,0.0749,0.0374,0.442,0.859026263884563,0.758648626752005,5
7zsXy7vlHdItvUSH8EwQss,Cold Water,71,0.055,0.602,0.797,0,0.187,0.0534,0.492,0.761652652340912,0.181064165924005,1
2JCv3LADgWrOcJoOa0so6m,Where's the Revolution,51,0.0117,0.578,0.736,0.0299,0.16,0.0319,0.292,0.496626180836707,0.303360204164304,5
0b6wdul3A5sQNpIOv03OxP,Ocean Drive,75,0.00637,0.686,0.718,0.000703,0.119,0.0431,0.557,0.764766946953182,0.404854978530341,7
4hRz7rOTUet8jJpXgWvoXh,World Away,64,0.00348,0.514,0.802,0,0.0952,0.0322,0.356,0.855289110349839,0.151411731345702,1
3s4U7OHV7gnj42VV72eSZ6,Rather Be (feat. Jess Glynne),73,0.162,0.799,0.586,2.03000000000009E-06,0.193,0.0377,0.549,0.590262638845635,0.465051041075913,7
7Gkphzdh5ouurEt7JT49Yu,Come & Get It,56,0.00905,0.548,0.788,0.000167,0.0966,0.0495,0.576,0.862244368317243,0.0506157336141942,7
3EMGSmvENxRcCByWWL34XH,2 On,39,0.125,0.738,0.597,0,0.25,0.114,0.425,0.496937610297934,0.262274163493478,5
3lPj2nA1lIrWIpbnhNG57v,these are my friends,65,0.0278,0.617,0.732,0,0.125,0.0278,0.723,0.590055019204817,0.100542817791461,7
18KDpXD6e2UGRA5ORND1CU,Overload - The Chainsmokers Remix,60,0.00405999999999999,0.72,0.587,0.000178,0.109,0.0318,0.313,0.619017959098931,0.55668192497772,5
6BivCuyKJtgLa9ooFsvUoZ,Flicker,54,0.0341,0.587,0.717,0.000426,0.166,0.118,0.569,0.90034257240735,0.171585108968646,7
6c9xVWbPeVPgrmWTYYeMTr,Alone,61,0.00307,0.531,0.756,1.73000000000013E-06,0.073,0.0371,0.299,0.75023357209592,0.444634610710524,1
1UZOjK1BwmwWU14Erba9CZ,Malibu,79,0.0767,0.573,0.781,2.64000000000002E-05,0.0813,0.0555,0.343,0.624416069760199,0.657103216397958,1
